ID,post_content
44000,"<p>Un transportista llevaba una partida de ping�inos hacia el zool�gico, cuando a medio camino se le estropea el cami�n refrigerado. Preocupado, trata de reparar el problema y al ver pasar un cami�n repartidor de leche consigue que se detenga. Entonces le dice al lechero:</p>
<p>""Mira, te voy a dar $500 para que me hagas el favor de llevar estos ping�inos al zool�gico"".</p>
<p>El lechero toma el dinero y se lleva con gusto a los p�jaros en su cami�n refrigerado. Mientras tanto, el transportista logra arreglar el da�o, y de inmediato enfila hacia el zool�gico. En cuanto llega, ve salir al lechero con los ping�inos, en fila, detr�s de �l. El conductor le pregunta al lechero:</p>
<p>""�Ad�nde vas con los ping�inos?""</p>
<p>""Mira, ya los lleve al zool�gico, pero como me sobr� dinero los voy a llevar al cine"".</p>
"
44001,"<p>Q: Why do blondes use tampons with extra long strings?</p>
<p>A: So the crabs can go bungee-jumping.</p>
"
44002,"<p>From David Letterman and the Late Show... </p>
<p>Top Ten Signs Bill Clinton Doesn't Give A Damn </p>
<p>10. Called Russia asking if they need a new spy<br /> 9. When people whisper, ""Your fly is open,"" he says, ""Yeah, I know""<br /> 8. Shoplifts at will, gives finger to security camera<br /> 7. If you asked what he had for breakfast and he actually had waffles, he'll say ""pancakes"" just for the fun of lying<br /> 6. He's no longer just fat -- he's now Hugh Rodham fat<br /> 5. ""Tubby"" is selling a copy of the Declaration of Indepence on eBay<br /> 4. Doesn't even bother to buy high-quality cigars anymore<br /> 3. Recently introduced Playboy playmate as ""my lovely wife""<br /> 2. Refers to Chappaqua mansion as ""the house that dirty pardon money built""<br /> 1. Sits in the back of Al Gore's journalism class screaming, ""Loser!""</p>
"
44003,"<p>A construction worker on the 3rd floor of a building needs a<br /> handsaw so he sees another man on the 1st floor. </p>
<p>He yells down to him, but he can't hear, so he does sign language. The man on the 3rd floor does sign language. </p>
<p>He points at his eye meaning ""I"", points at his knee meaning ""need"", and moves his hand back and forth in a handsaw motion. </p>
<p>The man on the 1st floor knods his head, pulls down his pants, and starts masturbating. The man on the 3rd floor gets so angry he runs down to the 1st floor and says,"" What the fuck is wrong with you dumbass? I said I need handsaw!!"" </p>
<p>The other guy says,"" I knew that, I was just trying to tell you I'm<br /> coming.""</p>
"
44004,"<p>Two high school sweethearts who went out together for four years in high school were both virgins; they enjoyed losing their virginity to each other in 10th grade. When they graduated, they wanted both to go to the same college, but, the girl was accepted to a college on the East Coast, and the guy went to a college on the West Coast. They agreed to be faithful to each other and to spend anytime they could together. </p>
<p>As time went on, the guy would call the girl and she would never be home, and when he wrote, she would take weeks to return the letters. Even when he e-mailed her, she took days to return his messages. Finally, she confessed to him that she wanted to date around. </p>
<p>He didn't take this very well and increased his calls, letters, and e-mails trying to win back her love. She soon became very annoyed with his persistence and now with a new boyfriend, she wanted to get him off her back. </p>
<p>So, what she did is this: she took a Polaroid picture of her sucking her new boyfriend's unmentionables and sent it to her old boyfriend with a note reading, ""I found a new boyfriend, leave me alone."" </p>
<p>Well, needless to say, this guy was heartbroken, but, even more, so, he was pissed. So, what he did next was awesome. </p>
<p>He wrote on the back of the photo the following, ""Dear Mom and Dad, having a great time at college, please send more money! I'm getting pretty desperate!"" and mailed the picture to her parents.</p>
"
44005,"<p>It has been reported that Osama bin Laden was captured this morning at 4:22 AM<br /> Pacific Standard Time by U.S. Special Forces. </p>
<p>The main suspect of the attack on the World Trade Center in New York City, bin<br /> Laden was captured at gunpoint as he fled an underground tunnel in a deserted<br /> mountainside of southern Afghanistan. </p>
<p>Northern Alliance troops, who witnessed the events unfold, explained that<br /> moments earlier United States war planes had sprayed liquid Viagra across<br /> southern Afghanistan, and the little prick just popped up!</p>
"
44006,"<p>Knock KnockWho's there?Teheran!Teheran who?Teheran up the road!</p>
"
44007,"<p>Three ways to get something done:1) Hire someone to do it2) Do it yourself3) Forbid your children to do it</p>
"
44008,"<p>Q: How many roket scientists does it take to change a lightbulb?A: If they're smart enough, they'll figure out how to size their number down to nine.</p>
"
44009,"<p>An American was knocked unconscious in a serious accident while travelling in Australia. The ambulance took him to a local hospital for treatment. While he finally woke up he asked the nurse, ""Was I brought here to die?""""No,"" said the nurse.""You were brought in here yesterday.""</p>
"
